date,close,volume,open,high,low
10/4/17,226.41,1746992,226.39,226.68,226.18
10/3/17,226.24,2505421,225.74,226.28,225.61
10/2/17,225.24,2606577,224.19,225.39,224.02
9/29/17,223.82,2415112,223.39,223.87,223.13
9/28/17,223.6,1462821,222.97,223.77,222.7
9/27/17,223.12,2377179,223.4,223.52,222.3505
9/26/17,222.69,1313471,223.06,223.5,222.62
9/25/17,222.82,2844027,223.11,223.43,221.99
9/22/17,223.2,2448259,223.22,223.46,222.82
9/21/17,223.47,1741150,223.9,223.97,223.39
9/20/17,223.9,1819643,223.57,223.95,222.95
9/19/17,223.58,2042785,223.37,223.67,223.2299
9/18/17,223.16,1827255,222.92,223.386,222.67
9/15/17,222.45,2367304,222.13,222.57,221.91
9/14/17,222.32,1892230,221.65,222.43,221.62
9/13/17,221.76,1720790,221.35,221.79,221.2
9/12/17,221.42,2072971,221.33,221.57,221.07
9/11/17,220.76,2568043,219.58,220.885,219.58
9/8/17,218.24,2135767,217.61,218.66,217.52
9/7/17,218.11,1982653,218.47,218.72,217.68
9/6/17,218.25,1914907,218.54,218.62,218.04
9/5/17,217.67,3827246,219.53,219.53,217.18
9/1/17,219.92,2149860,220.13,220.41,219.8329
8/31/17,219.52,2155754,219.53,219.89,219.12
8/30/17,218.93,1803575,218.75,219.16,218.39
8/29/17,218.59,2012431,216.68,218.76,216.62
8/28/17,217.94,1402962,218.5,218.58,217.53
8/25/17,218.04,2372562,218.26,218.93,218
8/24/17,217.66,1934301,218.55,218.55,217.46
8/23/17,217.92,3658796,218.01,218.46,217.84
8/22/17,218.69,2422542,217.41,218.85,217.3
8/21/17,216.74,3466966,216.46,216.92,215.73
8/18/17,216.53,4468326,216.99,217.66,216.15
8/17/17,217.81,3533444,220,220.07,217.77
8/16/17,220.47,2475258,220.7,221.1,220.28
8/15/17,220.16,1835305,220.58,220.58,219.86
8/14/17,219.97,2604770,219.88,220.285,219.81
8/11/17,218.7,4942437,218.76,219.22,218.52
8/10/17,218.6,7828873,219.81,219.897,218.55
8/9/17,220.5,3553095,220.33,220.61,219.96
8/8/17,220.69,3614436,220.8,221.68,220.4411
8/7/17,220.85,1893095,220.75,220.98,220.6
8/4/17,220.57,1876613,220.64,220.67,220.03
8/3/17,220.06,2495383,219.93,220.23,219.72
8/2/17,219.89,3062809,219.83,220.13,219.44
8/1/17,219.37,2303441,219.74,219.8,219.15
7/31/17,218.7,1731905,218.65,219.03,218.49
7/28/17,218.02,2304236,217.53,218.16,217.3
7/27/17,217.72,3201594,217.28,217.75,216.63
7/26/17,216.81,2040871,216.81,217.16,216.56
7/25/17,215.86,1923972,216.5,216.52,215.49
7/24/17,215.09,1459351,215.51,215.51,214.681
7/21/17,215.53,2223698,215.19,215.55,214.76
7/20/17,216.19,1368471,216.57,216.58,215.7101
7/19/17,216.32,1785894,215.89,216.34,215.66
7/18/17,215.7,2247441,215.66,215.81,214.63
7/17/17,216.22,2291048,216.32,216.4898,216.04
7/14/17,216.26,2394932,215.3,216.68,215.11
7/13/17,215.46,1586992,215.3,215.56,215
7/12/17,215.23,2103319,214.98,215.7,214.89
7/11/17,213.98,1577622,213.91,214.2944,212.68
7/10/17,213.99,1156463,213.68,214.3453,213.54
7/7/17,214.05,1325615,213.54,214.1599,213.42
7/6/17,213.14,2298772,214.09,214.2458,212.94
7/5/17,214.58,1799148,214.74,214.83,213.83
7/3/17,214.49,2135037,213.95,215.38,213.88
6/30/17,213.24,2202755,213.15,213.99,212.97
6/29/17,212.61,4363637,214.52,214.55,211.7
6/28/17,214.24,4693426,213.58,214.53,213.58
6/27/17,212.93,1979898,213.71,214.13,212.87
6/26/17,213.87,1939983,214.29,214.76,213.53
6/23/17,213.74,1346820,213.44,213.95,213.0644
6/22/17,213.73,2696635,214.08,214.29,213.66
6/21/17,213.89,2129109,214.65,214.67,213.64
6/20/17,214.4,1762126,214.89,215.07,214.37
6/19/17,214.92,2102623,214.36,215.01,214.08
6/16/17,213.56,2371753,213.33,213.58,212.82
6/15/17,213.69,2571705,212.89,213.8,212.75
6/14/17,213.84,5421438,213.78,214,212.98
6/13/17,213.37,2426620,212.8,213.39,212.75
6/12/17,212.4,3681687,212.46,212.78,211.88
6/9/17,212.67,4271003,212.15,213.07,211.59
6/8/17,211.86,2027241,211.62,212.699,211.39
6/7/17,211.72,1545878,211.69,211.92,211.14
6/6/17,211.37,2094951,211.33,211.78,211.17
6/5/17,211.86,1922993,211.86,212.205,211.64
6/2/17,211.91,2313311,211.45,212.21,211.27
6/1/17,211.4,1825224,210.27,211.4,209.91
5/31/17,210,1577436,210.41,210.41,209.32
5/30/17,210.21,1065974,210.21,210.52,209.97
5/26/17,210.54,1150567,210.54,210.719,210.32
5/25/17,210.58,2198248,210.52,210.92,210.3
5/24/17,209.82,3481387,209.32,209.96,209.075
5/23/17,209.12,3457529,209.1,209.35,208.69
5/22/17,208.65,2244062,208.32,208.87,208.32
5/19/17,207.77,4888894,206.75,208.31,206.58
5/18/17,206.96,6648506,206.03,207.96,205.855
5/17/17,206.47,5713454,208.12,208.59,206.37
5/16/17,209.95,1734840,210.32,210.46,209.46
5/15/17,209.93,1817692,209.4,210.13,209.4
5/12/17,209.01,1575490,208.97,209.28,208.82
5/11/17,209.28,3092363,209.14,209.45,208.1
5/10/17,209.48,1393649,209.19,209.81,208.9
5/9/17,209.62,1569284,210.14,210.32,209.2231
5/8/17,209.92,2310733,209.7,210.02,209.53
5/5/17,209.77,1666539,209.07,209.78,208.76
5/4/17,209.19,2640052,209.65,209.65,208.198
5/3/17,209.22,1826055,208.87,209.47,208.47
5/2/17,209.13,1353455,209.1,209.3,208.754
5/1/17,208.92,1885489,209.49,209.49,208.7
4/28/17,209.08,1933465,209.63,209.63,208.97
4/27/17,209.56,1947609,209.73,209.77,209.06
4/26/17,209.47,2862333,209.81,210.43,209.44
4/25/17,209.68,3476055,208.95,209.98,208.84
4/24/17,207.38,3219455,207.33,207.63,207.03
4/21/17,205.25,3031984,205.51,205.7284,204.77
4/20/17,205.7,3870163,204.35,206.21,204.17
4/19/17,203.85,3605613,205.26,205.3,203.64
4/18/17,205.08,2494569,205.36,205.81,204.42
4/17/17,206.17,2246142,204.93,206.26,204.86
4/13/17,204.37,3604029,205.34,205.94,204.36
4/12/17,205.67,2171229,206.3,206.3,205.35
4/11/17,206.33,3511450,206.22,206.42,204.94
4/10/17,206.39,2395011,206.49,207.32,205.95
4/7/17,206.38,2608490,206.19,207.07,205.89
4/6/17,206.45,3186338,206.45,207.29,205.92
4/5/17,206.26,4109181,207.59,208.65,206.16
4/4/17,206.65,2554227,206.02,206.77,205.81
4/3/17,206.25,4435042,206.52,206.63,204.88
3/31/17,206.34,4179509,206.72,206.93,206.3
3/30/17,206.96,2849212,206.3,207.26,206.15
3/29/17,206.31,2323350,206.53,206.56,205.945
3/28/17,206.75,3537018,205.08,207.07,204.91
3/27/17,205.23,4558429,204.18,205.505,203.81
3/24/17,205.75,4052419,206.58,206.9,205
